sig_f2	batch_f2	n_per_cohort	n_cohorts	n_total	method	n_reps	mean_auc	std_auc	r2_resp_diag	r2_batch_diag	ceiling_auc	delta_auc
0.007	0.08	40	4	160	none	10	0.4815625	0.04699749619328141	0.00353	0.08661	0.55125	-0.06968750000000001
0.007	0.08	40	4	160	mean_centering	10	0.49593750000000003	0.057815456005509476	0.00434	0.08664	0.55125	-0.05531249999999999
0.007	0.08	40	4	160	location_scale	10	0.539765625	0.06177553756152693	0.00447	0.09803	0.55125	-0.011484374999999991
0.007	0.08	40	4	160	quantile_mapping	10	0.5121093750000001	0.053313372373431096	0.00502	0.09014	0.55125	-0.03914062499999993
0.007	0.08	40	4	160	percentile_norm	10	0.476953125	0.0584260621326487	0.00816	0.09464	0.55125	-0.07429687500000004
0.007	0.08	40	4	160	cohort_covariate	10	0.511328125	0.058536690967743665	0.00998	0.09229	0.55125	-0.039921874999999996
0.007	0.08	80	1	80	none	10	0.5068750000000001	0.06287077520597309	0.01074	0.0	0.4546875000000001	0.0521875
0.007	0.08	80	1	80	mean_centering	10	0.529375	0.11501698244172466	0.01344	0.0	0.4546875000000001	0.07468749999999996
0.007	0.08	80	1	80	location_scale	10	0.5140625	0.07327775178217465	0.01379	0.0	0.4546875000000001	0.0593749999999999
0.007	0.08	80	1	80	quantile_mapping	10	0.48	0.07524958471646205	0.01541	0.0	0.4546875000000001	0.025312499999999905
0.007	0.08	80	1	80	percentile_norm	10	0.48562500000000003	0.06813933335453173	0.0212	0.0	0.4546875000000001	0.03093749999999995
0.007	0.08	80	1	80	cohort_covariate	10	0.531875	0.05328651916760936	0.01403	0.0	0.4546875000000001	0.07718749999999991
0.007	0.08	80	2	160	none	10	0.48382812500000005	0.06423381248233383	0.00373	0.04349	0.4546875000000001	0.029140624999999976
0.007	0.08	80	2	160	mean_centering	10	0.5453906249999999	0.06047647116402482	0.00883	0.04065	0.4546875000000001	0.09070312499999983
0.007	0.08	80	2	160	location_scale	10	0.508046875	0.06738166892145538	0.0066	0.03827	0.4546875000000001	0.05335937499999993
0.007	0.08	80	2	160	quantile_mapping	10	0.545	0.054444998048489276	0.00605	0.03558	0.4546875000000001	0.09031249999999996
0.007	0.08	80	2	160	percentile_norm	10	0.51890625	0.05258085291957522	0.00617	0.04096	0.4546875000000001	0.06421874999999994
0.007	0.08	80	2	160	cohort_covariate	10	0.4559375	0.06259875011232255	0.01025	0.04155	0.4546875000000001	0.0012499999999999178
0.007	0.08	80	3	240	none	10	0.48388888888888887	0.04548006745260858	0.00565	0.07026	0.4546875000000001	0.02920138888888879
0.007	0.08	80	3	240	mean_centering	10	0.5128125	0.04889708787388362	0.00348	0.07195	0.4546875000000001	0.05812499999999993
0.007	0.08	80	3	240	location_scale	10	0.4929861111111111	0.0636648396334708	0.00601	0.07351	0.4546875000000001	0.03829861111111105
0.007	0.08	80	3	240	quantile_mapping	10	0.4828819444444445	0.047073922055969386	0.00348	0.07834	0.4546875000000001	0.02819444444444441
0.007	0.08	80	3	240	percentile_norm	10	0.4804861111111111	0.06320451690180158	0.00319	0.07133	0.4546875000000001	0.025798611111111036
0.007	0.08	80	3	240	cohort_covariate	10	0.4768402777777777	0.045160531670432894	0.00319	0.07457	0.4546875000000001	0.022152777777777632
0.007	0.08	80	4	320	none	10	0.5007812500000001	0.03997088326255829	0.00382	0.08809	0.4546875000000001	0.04609374999999999
